,Title,Image,Ratings,author
0,saving…,https://s.gr-assets.com/assets/loading-trans-ced157046184c3bc7c180ffbfc6825a4.gif, 4.49,Michelle Obama
1,Becoming,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528206996i/38746485._SY75_.jpg, 4.63,Kristin Hannah
2,The Great Alone,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1501852423i/34912895._SY75_.jpg, 4.33,Delia Owens
3,Where the Crawdads Sing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524102644i/36809135._SY75_.jpg, 4.53,Heather   Morris
4,The Tattooist of Auschwitz ...,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525962117i/38359036._SY75_.jpg, 4.28,Tayari Jones
5,An American Marriage,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491493625i/33590210._SY75_.jpg, 3.98,Liane Moriarty
6,Nine Perfect Strangers,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529076901i/39280445._SY75_.jpg, 3.52,Stephen King
7,The Outsider,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524596540i/36124936._SY75_.jpg, 4.03,Madeline Miller
8,Circe,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1508879575i/35959740._SY75_.jpg, 4.31,Jojo Moyes
9,Still Me,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1537058720i/41839602._SY75_.jpg, 4.17,Tomi Adeyemi
10,Children of Blood and Bone ...,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516127989i/34728667._SX50_.jpg, 4.20,Greer Hendricks
11,The Wife Between Us,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496862122i/34189556._SY75_.jpg, 3.84,Chloe  Benjamin
12,The Immortalists,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493015963i/30288282._SY75_.jpg, 3.73,Michelle McNamara
13,I'll Be Gone in the Dark: O...,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499131009i/35068432._SY75_.jpg, 4.18,Holly Black
14,The Cruel Prince (The Folk ...,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493047153i/26032825._SY75_.jpg, 4.17,Lisa Jewell
15,Then She Was Gone,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523891273i/35297426._SY75_.jpg, 4.06,Rachel Hollis
16,"Girl, Wash Your Face: Stop ...",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1513038393i/35542451._SY75_.jpg, 3.81,Sarah J. Maas
17,Kingdom of Ash (Throne of G...,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531922609i/33590260._SY75_.jpg, 4.63,Helen Hoang
18,The Kiss Quotient (The Kiss...,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1527983633i/36199084._SX50_.jpg, 3.92,John Carreyrou
19,Bad Blood: Secrets and Lies...,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556268702i/37976541._SX50_.jpg, 4.48,Emily Giffin
